Title,Review
Classy product,very very good and a petfect mobile from samsungREAD MORE
Terrible product,Very bad phoneREAD MORE
Useless product,no there is still problem in phone and its price also went down last time I buyed it for 15990 now its price is 13990 so I dont want any replacement I just want my money backREAD MORE
Great product,Amazing ProductREAD MORE
Classy product,Great Mobile. working effective. battery packup and operating speed is nice.READ MORE
Excellent,thanks for the samsungREAD MORE
Brilliant,very nice working very good and perfect productREAD MORE
Brilliant,Excellent performance at this rate... Resolution of display is not that much good... But OK.....sound ?? quality is better.. Camera ?? quality is also better... Thanks fc for discount... ??????READ MORE
Wonderful,aswmmm just loved it matte finishing blue  colour  was fab????????READ MORE
Wonderful,Best Featured phone in this price range.READ MORE
"Received Faulty Product, Better buy from Samsung Store",I would all of you to refrain on buying this product from Flipkart. I received a faulty phone. Touch screen of the phone is working and i am not able to proceed past the initial configuration settings as touch screen is not working. I have immediately raised replacement request with the flipkart and there response is not very good and they are offering solutions on phone. It is just One day and the attitude of flipkart representatives is very poor. I regret buying from flipkart. there is no d...READ MORE
Worth every penny,It is very good phone in all angles.READ MORE
Brilliant,very nice mobile phones very goodREAD MORE
Wonderful,bahut accha phone ha at this price &fast delivery by Flipkart thanks you Flipkart.READ MORE
Great product,very nice phoneREAD MORE
Wonderful,good product thanksREAD MORE
Nice,Camera ????READ MORE
Mind-blowing purchase,All is good.READ MORE
Wonderful,Good phone. nice camera and a nice battery display good.and processesor excepted a snapdragon 635 but 450 ok .READ MORE
Perfect product!,value for money mobile . good battery back upREAD MORE
Gives you a premium feel.,"CONS : Battery drainage issue for heavy users , Price is high in comparison to chinese Redmi devices (though I got it in ?14990 by exchanging my old device).PROs: Rest.Go for it if you are brand conscious, have budget and most importantly concerned about your data being stolen and monitored by Chinks.READ MORE"
Simply awesome,This is amazing mobile phone...Camera performance nice ....Display looking great.....Over all great mobile phoneREAD MORE
Terrible product,worst for money hang many times slow processing camera quality not goodREAD MORE
Excellent,nice mobile..  performance is good..  camera quality is assured.. supports memory card alsoREAD MORE
Great product,Very bad camera poor quality.  n.   complit mobile protection not send meREAD MORE
Wonderful,phone is noy good productREAD MORE
Just wow!,budget phone from samsung. superb phone for a regular user. not good for a person who is extremely care about gamingREAD MORE
Wonderful,very very nice phoneREAD MORE
Wonderful,Nice just now receive the phoneREAD MORE
Best in the market!,nice phoneREAD MORE
Don't waste your money,i booled that phne through emi...bt indus credit card bank deduct my full paymnt throght emi optn....this is very wrong ...to make customers fool......??????????????????READ MORE
Awesome,Great mobileREAD MORE
Horrible,flipkart this time pathetic service.Camera quality is very poor..and I want to return the product and buy another phone but they didnt listen.after all i already buy 8-9 phones in last 7 year from flipkart only.but no consuner loyality perference given.hence this time very dissapointing from flipkart.Dont buy these phone better to take Real me 2 pro or Xiomi note 5 pro..READ MORE
Expected a better product,"I don't understand why people are not mentioning this, display looks very bad, with low pixel per inch display looks horrible for low resolution content, it's a deal breaker for some people.READ MORE"
Nice,some times camra is not working properly and gives notification that close the camera from app manager after closing all apps also it dose not work  then i have to restarting the phone and it starts working properlyREAD MORE
Pathetic resolution,"This phone has extremely poor  resolution not even comparable to old redmi note3, they are not offering even hd resolution for 15000/-Wanted to return this worthless device but getting only replacement optionNever buyREAD MORE"
Simply awesome,superbREAD MORE
Best in the market!,Nice product and and it has fast deliveredREAD MORE
Horrible,The display of the phone is bad when you look text definately it looks blurry.camera is ok but due to 1.7 aparture it captures good images in low light but what about colurs its not like 16mp. worst pount is display inspite of having superamoled display it is pixelatedREAD MORE
Worth every penny,Awesome phone with awesome camera quality and day or half battery life.READ MORE
Brilliant,Best Mid Range I ever had.... All Specifications match as on website. No Lags... Space Remaining After Installing All Basic Apps Is 50 GB. No heating...  Long Lasting Battery. Smooth edges and infinity display made me feel that is is a premium phone. If you have budget to get this. Then go for it...READ MORE
Must buy!,nice phoneREAD MORE
Just wow!,Very niceREAD MORE
Moderate,"I got my On8 yesterday. The screen or display has a blueish tinge always. Colors appear slightly different, especially red & orange. Is this normal? Or is something wrong? I saw in other Android forums about this blue tint issue with AMOLED displays. Surprised that nobody else reported this.Samsung help centre adviced different settings & reset options over the phone. Also did some online tests. But nothing helped. Now I have to waste my time exchanging the phone or visiting the service ce...READ MORE"
Really Nice,Camera is osmREAD MORE
Best in the market!,are the best phone and both are working fuel sim volteREAD MORE
Must buy!,my all friend use this one mobile And now my fmaily gone to be this mobile buyREAD MORE
Best in the market!,Awesome phoneREAD MORE
Classy product,Awesome phone with awesome battery and beautiful navigationREAD MORE
Fair,"Camera gooddisplay gooddesign goodperformance ok - not supporting 4K video recording and playback internal hardware okvalue for money- price should be 11,999READ MORE"
Awesome,in this range awesom productREAD MORE
Did not meet expectations,shape of phone is very bad too long n too thin uh won't enjoy using this phone bad product from samsungREAD MORE
Classy product,very good product  osm cameraREAD MORE
Perfect product!,Awesome Phone bt it's does not working in magnetic area's in plant sectors.READ MORE
Terrible product,Cash back not received yet neither flipkart nor jioREAD MORE
Good choice,Bit over priced for the specifications...but that is the premium you pay to get a branded device...major disadvantage is no ambient display sensorREAD MORE
Worth the money,Awesome Mobile. Many new features in phone. Fast processing.READ MORE
Highly recommended,GoodREAD MORE
Supr phn,Supr not buy j8 buy on8 supr phn nice i ttly agreeREAD MORE
Great product,premium look....with excellent camera...battery is average for rigorous user.... Samsung the brand defines it's ingenuity..... trustworthy companion for Samsung lovers.....READ MORE
Just wow!,paisa vasool welcome back SamsungREAD MORE
Perfect product!,nice one..READ MORE
amazing mobile,the look of this mobile is very rich.. nd i just love this mobileREAD MORE
Nice product,niceREAD MORE
Waste of money!,"performance  good but, camera is patheticREAD MORE"
Worth the money,I have been using this handset since one week. Camera is good bt not as good as MI 5 pro. You can except one day battery back up.READ MORE
Perfect product!,Very good mobile....Just my expectations from Samsung was they should provide FHD display to this phone....Though this is having HD+ i.e 720px display it's display quality is excellent that any other mobile company..Thanks Samsung for this product...READ MORE
Nice product,Packed with so many features. Just mind-blowing. Great rear camera. Big gigantic screen. Blazingly fast. Blue colour handset is just mesmerizing. Great value for money. Go for it guys. You will never regret.READ MORE
Brilliant,looking good and camera also sawsm thanks to flipcartREAD MORE
Value for money,Used this product for 1 day and find everything perfect yet. Screen size is eye catching with loud and clear sound. Value for money in all aspects considering the brand name.READ MORE
Terrific,"In this price range, this is one the best phone. The display is good, battery is good and phone is very light weight.  If you are not a heavy user and don't play heavy games much, then go for this phone, because above everything, durability and service is what is most important.READ MORE"
Very poor,worst battery and cameraREAD MORE
Does the job,Best phoneREAD MORE
Just wow!,"delivered on time,,,battery backup was little low it's getting drained others awesome theme,stylish,worth for money,no heating problems,  ...looks so stylishREAD MORE"
Nice,"over all phone is ok... only plus point I find in this phone is - it's look.. rest it's just an average phone... camera quality is really bad, I mean results of primary camera are the worst. even 5000 rs local phone camera may performs better. dual camera is for the name sake only, most of the indoor pics are blurry and unclear, out door pics are also just ok type, my husband gave it to me on my birthday...totally unhappy and disappointed with this phone,this is not even 6"" display it is har...READ MORE"
Moderate,"Display is very bad, aspect ration is worst than ever,  you will face a problem while watching law resolution vidios and also while reading a books, because it provide only HD screen, total waste of moneyREAD MORE"
Waste of money!,camera  clarity is very  low gone for Samsung after long year  but  its totally wast of money.. Samsung dis satisfied this time...READ MORE
Very Good,"I have been using samsung since 2013.1st drawback of this phone,there is no notification light.Nice camera,but display is not full HD,back cover is plastic one,at least in this cost samsung can easily provide a better cover.Battery backup is nice till now,but from past experience after 6/7 months of using samsung phones,we can only see the real picture of battery.overall 4*READ MORE"
Nice product,very awesome design  and super display very smooth in handling but too slow in charging  taking too long time charge almost 6 hours to fill the batteryREAD MORE
Just wow!,awsome phoneREAD MORE
Must buy!,excellent cameraREAD MORE
Good quality product,good performanceREAD MORE
Mind-blowing purchase,worth buying.. way too better than MI range of phones.. believe meREAD MORE
Utterly Disappointed,"Apart from camera, its a useless phone.READ MORE"
Great product,display- excellentCamera-superBattery backup- mediumTouch- Very SmoothREAD MORE
Fair,Audio quality is poor...avg #samsungREAD MORE
Really Nice,"Excellent for Camera,displayREAD MORE"
Good quality product,Writing a review after 2 days of use..Battery is too good..Camera is the best...Overall a good one except the processor being old ...Delivery was 3 days late...Loved the phone though .READ MORE
Just okay,"Charing Wire is to shortOther wise phone is very good at this price Only 3 button volume +,- and lock No button on displayREAD MORE"
Good quality product,IT'S OK IN 13500 BATTERY NEEDS TO BE IMPROVED IF BE IN RACE. GOOD SERVICE BY FLIPKART.READ MORE
Terrible product,battery backup is poor ... when u used mobile data .. then 4% battey switch off mobileREAD MORE
Awesome,Good I have purchased 2 phoneREAD MORE
Expected a better product,"I have taken this phone last year July, initially phone looks good with speed charge and battery backup to 2 days but later it's taking more 5 hrs to ful charge and giving battery backup for half day .So if you consider battery back up, dont take this phone.READ MORE"
Awesome,Awesome Samsung Galaxy On8 .super mobile. Value of money. Camera also awesome.READ MORE
Expected a better product,Using since last 1 year. Phone is good for normal day to day use but when it comes to gaming this phone is really bad. playing pubg ks very difficult as processor is cheap one hence gameplay is very laggy.READ MORE
Does the job,even after free space in internal memory and RAM it start hanging. I cleared cache and unwanted junk files. I observed whenever new updates from Samsung store after that minor changes in setting and phone start getting slow. why should I go for change? why phone can not provide stability.READ MORE
Utterly Disappointed,Very bad phone after only 7 month  starting to hang. And today suddenly touch is not working.READ MORE
Terrific,Thanks For Flipcard  Osam  Picture quality  And Super Amoled Display  Fingerprint FastREAD MORE
Fabulous!,very goodREAD MORE
Super!,niceREAD MORE
Just wow!,very good mobile in the price.READ MORE
Fabulous!,Brilliant cameraREAD MORE
Mind-blowing purchase,nice phoneREAD MORE
Simply awesome,exellent cameraREAD MORE
Brilliant,Great productREAD MORE
Worth every penny,"bought it for 12999 in big billion days offer... fast delivery, superb packaging... very good phoneREAD MORE"
Really Nice,niceREAD MORE
Very Good,It's a good phone in this budgetREAD MORE
Pretty good,Its good...?...READ MORE
Nice,good in budgetREAD MORE
Wonderful,goodREAD MORE
Awesome,camera iz very good.but speaker has a problem when we play some bass songs the speaker vibrates.Then pubg is lag.goodlooking.display is good.battery not bad.READ MORE
Great product,super cameraREAD MORE
Nice product,Very nice mobile camera is bestREAD MORE
Awesome,good picture quality in low light.READ MORE
Best in the market!,"Samsung On8 Wonderful Camera,Super Phon,Excellent Parfromence & Value for MoneyREAD MORE"
Utterly Disappointed,Light sensor not working. SD card not reading. I lost my money.READ MORE
Perfect product!,best as compare to j8 price...READ MORE
Very Good,FineREAD MORE
Must buy!,nice phone for low budgetREAD MORE
Classy product,all over best but this phone display coular not showing  like almond@@READ MORE
Terrific purchase,Best product.READ MORE
Wonderful,no word to explain about phone this phone is awesome......READ MORE
Pretty good,compare to mi phones just awesome camera and displayREAD MORE
Pretty good,below 15k it is a better mobile nice product.READ MORE
Worth every penny,amazing imag on8READ MORE
Delightful,Overall product is good .READ MORE
Simply awesome,Matte  black looks amazing ...READ MORE
Samsung galaxy on8,I realy like this product i brought via flipkart.  I like flipkart.  Only i face the Issue delay of delivery.  Anyway thanks alote flipkart.READ MORE
Highly recommended,Satisfied !!!READ MORE
Pretty good,"writing this review after nearly a months usage . good quality phone. Actually I am not a samsung lover but overall performance of the phone is good. on moderate usage the battery lasts for nearly 2 days.no lag, no hanging issue, no heating issues,  camera quality is awesome. bit disappointed with the display. The face unlock is not that great.But overall it's value for money in price range of 13k.READ MORE"
Nice product,good productREAD MORE
Super!,very very good good product very niceREAD MORE
Simply awesome,"value for money it's my luck that I got this phone in 12,990 only......READ MORE"
Wonderful,nice display and camera but less battery backup 5stars because it has biggest screen display in 13000 rangeREAD MORE
Terrific purchase,Overall this phone is AmzingREAD MORE
Wonderful,"Best phone,  supr camera, awesome display I just love it ??READ MORE"
Super!,unbelievable.im realy happy with flipkart. Thank you very much Flipkart.READ MORE
Super!,execelentREAD MORE
Classy product,really good product.....READ MORE
Wonderful,EverageREAD MORE
Worth the money,speed is not a prefectREAD MORE
Mind-blowing purchase,Very Good Experience.READ MORE
Classy product,Product is good i purchased because of exchange on7 amount 2700 all process are completed at time delivery they mobile cannot be exchange due to some scratches. if you want mobile you have to pay exchange amount.Mobile was 2 years old already and they checked all tests and verified IMEI no and mobile is working great.Then why ? They want new devices from us.READ MORE
Excellent,awesomeREAD MORE
Great product,paisa wasool product ????? no need to write much more for good things....  in this price range no any mobile with on8READ MORE
Brilliant,Nice phoneREAD MORE
Waste of money!,very poor quality of cameraREAD MORE
Simply awesome,Awesome Phone... Samsung Always Best....READ MORE
Utterly Disappointed,This product is very poorREAD MORE
Best in the market!,camra sound display finger scaner everthig supper phone 11.999READ MORE
Not recommended at all,the mobile is hanging withing 6 days of purchased.and it is unworthy to buy.as the cost is jumbling..I don't recommend this to anyone.very bad of samsung.READ MORE
Absolute rubbish!,very bad mobile it is hanging phone I bought this phone on18/12/18and now after few days not one month complete this will hanging if flipkart give 30 days return policy then I return.so please do not buy any Samsung phoneREAD MORE
Worth every penny,"must buy long lasting battery ,superb camera ,awesome back ground blur ,superb result, loud speakers that voice can be heared from 15 feets away ...........must buy now at 12,990READ MORE"
Terrific,niceREAD MORE
Very Good,Very good productREAD MORE
Super!,exxelentREAD MORE
Nice,Excellent Mobilebut Delivery very SlowREAD MORE
Does the job,phone is charging too slowREAD MORE
Awesome,At this price this is the best phone.After 10 days of usage I cant find any problem in this phone..Lacking of fast charger with this handset cause charging time to 2.5 hours.Rest all good.READ MORE
Simply awesome,NICE PHONE AND NICE DEGINE AND NICE EMI COSTREAD MORE
Must buy!,Excellent phone value for moneyREAD MORE
Best in the market!,"Samsung On8 looks outstanding, camera is good. Big screen. Recommend to buyREAD MORE"
Highly recommended,camera quality not good with dual camera but overall performance very goodREAD MORE
Good,"Not up to the mark, not as quick as my previous phone with 3 GB ram .. no haptic feedback...the only reason I purchased this phone was coz it's from a non Chinese brand within my budget...READ MORE"
Not good,touch screen  is not goodREAD MORE
Really Nice,goodREAD MORE
Fair,WORST DISPLAY QUALITY. WORST CAMERA.BATTERY GOOD.RETURNED 1ST ON8 FOR THIS REASON.I RECEIVED 2ND ONE WITH  SAME PROBLEM.SO THESE R THE COMMON  PROBLEM OF SAMSUNG ON 8.BUT FLIPCART SERVICE IS SUPERB.DONT BUY FOR THE NAME OF SAMSUNG.READ MORE
Awesome phone... getting down by wrong online reviews,"Don't go on online unboxing and reviews. Please don't know ABC's of technology and giving review. For example, it has auto-brightness enabled using camera, so it doesn't need light sensor.READ MORE"
Brilliant,overall ok but good thing is camera is the highlight...READ MORE
Great product,niceREAD MORE
Mind-blowing purchase,good phoneREAD MORE
Wonderful,nicREAD MORE
Delightful,please update as soon as possible.READ MORE
Expected a better product,"Hangs a bit when you play games. With 4GB RAM, this was really not expected in the first place. Secondly, processor is tad slow. Overall good especially for camera and battery backup.READ MORE"
Wonderful,Battery life is the only letdownREAD MORE
Value-for-money,Back camera goodREAD MORE
Classy product,super mobile... I got this for only 13990 on offer.....READ MORE
Highly recommended,best in market from samsung .READ MORE
Did not meet expectations,mobile is good but flip cart service is very bad.next time I don't want buy any mobile products in flip kart.READ MORE
Fabulous!,nice kualty verry good DeviceREAD MORE
Must buy!,I HAVE PURCHASED 2 MOBILES... ONE BLUE AND BLACK... BUT I SUGGEST BUY BLACK ONE ITS AWESOME LOOK... FEELS VERY PREMIUM.. OVERALL SAMSUNG IS SAMSUNG.. BEST ALWAYS.. THANKS FLIPCART ??READ MORE
Highly recommended,bst phn in this price by SamsungREAD MORE
Highly recommended,poor battery performance after 3 months of usageREAD MORE
Worth the money,nice phoneREAD MORE
Slightly disappointed,it's ok battery capacity to badREAD MORE
Nice product,camera quality  is very rare  and not mobile sensor lightREAD MORE
Wonderful,Really good phone in price of 14 k.  Camera & battery very good.READ MORE
Good,on8 is good phone but fingerlock is not good and back camera is avaregeREAD MORE
Great product,Camera is awesome Display is also good Overall perfect phone in its rangeREAD MORE
Terrific purchase,It's ossm phone  I love itREAD MORE
Classy product,very good jobREAD MORE
Just wow!,smooth performance ....nice deviceREAD MORE
Very Good,superb product in this priceREAD MORE
Great product,camera quality good ram memory also good but screen quality not satisfiedREAD MORE
Mind-blowing purchase,VALUE FOR MONEY.IF YOU ARE GUY WHO WANT HIGH END GAMES AND BEST CAMERA THIS PHONE IS BEST FOR YOU.READ MORE
Decent product,Display is poorREAD MORE
Classy product,gud mobil camera supar jaust ossam and bettery is not gud bt its okREAD MORE
Good,"display is good, battery performance is also very nice, overall nice product with this priceREAD MORE"
Excellent,superb qualityREAD MORE
Excellent,Amazing products and value of moneyREAD MORE
Brilliant,GOOD MOBILE BATERY BACKUP SO GOODREAD MORE
Disappointment from Camera,Camera isn't like 16MP  maybe that's the reason why J8 and On8 vary in price.READ MORE
Super!,Nice productREAD MORE
Value-for-money,J8 and on 8 are similar. And it's good.READ MORE
Best in the market!,"Awesome, very niceREAD MORE"
Simply awesome,Nice product i first time purchase samsung brand its nice nd also in budgetREAD MORE
Very poor,very bad phone please don't buyREAD MORE
Nice product,disappointed with the camera quality in low light rest is ok.. recommend people to go with galaxy onmax rather than on8.READ MORE
Fabulous!,niceREAD MORE
Terrific purchase,value for moneyREAD MORE
Awesome,nice picREAD MORE
Super!,goodREAD MORE
Wonderful,Supubbb phone I just love it ????READ MORE
Pretty good,Best android phone go for it... ??READ MORE
Great product,Black is classy??READ MORE
Perfect product!,"superb mobile, it's working good and battery backup really niceREAD MORE"
Great product,phone is awesome as expected but delivery was very slow took 4 days almost.Now support 2 jio SIM or dual 4g volte at same time.READ MORE
Must buy!,It is a great mobile.It's performance is great. fabulous product. Osumn.READ MORE
Awesome,Very niceREAD MORE
Brilliant,One  of the best phones at this price. The camera is really great.READ MORE
Nice product,"if you are a brand cautious,  then you should go for it, back camera is superbb, you can get the same features in 12-13k from others such as MI, oppo, vivo, but trust me guys samsung is samsung even other brands 25MP camera is not good as compare to Samsung's 16 MP.READ MORE"
Very Good,thank you FLIPKART for fast delivery .phone is ok but 3rd class Earphone in this cost very very very  bad and  negative point for samsung. samsung need to think about earphone Quality with all smartphone  .READ MORE
Must buy!,good one true  value for moneyREAD MORE
Wonderful,"good product ,.  delivery of time more better.thanks for FlipkartREAD MORE"
Really Nice,Nice mobile battery life so goodREAD MORE
Excellent,Samsung is always good.READ MORE
Mind-blowing purchase,Worth the money spent...READ MORE
Excellent,very nice phone very good battery picup good cameraREAD MORE
Note 5 pro is best,Compare to This mobile Redmi Note 5 Pro is bestREAD MORE
Wonderful,Just like a flagship deviceREAD MORE
Nice,Camera Quality Very Bad .. performance wise good phone to buy with long lasting battery LifeREAD MORE
Terrific purchase,super productREAD MORE
Absolute rubbish!,worst ever don't buyREAD MORE
Awesome,awesome  phoneREAD MORE
Highly recommended,nice phone battery backup superupREAD MORE
Decent product,NiceREAD MORE
Wonderful,everything is ok and camera performance is outstandingREAD MORE
Excellent,super quality mobileREAD MORE
Good quality product,Very First delivery.... Nice Phone.... Very good Camera Quality... But Most improve about Battery... Overall 4 star about this productREAD MORE
Highly recommended,when I opened up it's just wow...nice looks good camera good battery backupREAD MORE
Fabulous!,"Phone is good...If you are samsung lover... go for it...only one thing is questioned, when mobile is re start, it runs slow and slight heats up - can say 1% heat felt.official use mobile, gaming purpose cannot comment because i play few of them.Camera is good, still i m understanding how to use so expecting more from on 8.Charging experience is too good as per my opinion.in 02 hours battery goes from 8% to 100%(subject to unused).face un lock is not working in low lights, but its good....READ MORE"
Good choice,good phone..... somehow after buying at no cost EMI the bankers ICICI  have charged me interest on EMI and when informed the concern to Flipkart they also raised the hand that states bankers can do anything as per their policy. so no cost EMI actually not been applied as stated on the offerREAD MORE
Does the job,Took extremely long time to deliver.READ MORE
Pretty good,Camera is not that good.READ MORE
Good,"Many things are missing like fast charging, automatic brightness, Speaker sounds is not that good as on next  has, selfy is not that satisfactory.READ MORE"
Awesome,nice packing ....nice one in this rangeREAD MORE
Samsung,Processor slowREAD MORE
Worth every penny,super semmaiya iruku mobile nice mobileREAD MORE
Worth every penny,Great phone.Better than note-5 proREAD MORE
Terrific purchase,everything was good but price is to highREAD MORE
Value-for-money,I am totally disappointed with this device.Waste of Money.I want refund of this mobile.Flipkart and Samsung is saying resolution of HD+ but they are not providing this quality.Don't go for this phone.Samsung J7 is having Full HD resolution and the upgraded device On8 is lower quality in display that I cant believe it.READ MORE
Super!,Great in price. Awesome camera and featuresREAD MORE
Simply awesome,everyone should buy this phone just loved it thanks flipkartREAD MORE
Great product,"The look of is awesome. though the camera quality is not like  OPPO & VIVO, but Samsung has its brand value. have been using for a week, let's see how it goesREAD MORE"
Highly recommended,awesome mobileREAD MORE
Terrific,Product quality is gud......Fabulous phone.....amzaing..READ MORE
Terrific,100% genuine prosuctREAD MORE
Terrific,superbREAD MORE
Terrific,great....awsome??READ MORE
Too good,Too good..tottaly satisfiedREAD MORE
Super!,"super display, nice battery backupREAD MORE"
Terrific,Excellent Quality..... ????.....Delivery boys is very gentlman Also...... Tq Uhh flip kart ???READ MORE
Super!,great battery backupREAD MORE
Excellent,velue of money awsome featuresREAD MORE
Terrific,Awesome phone with great camera quality and performance.READ MORE
Very Good phone,"Phone is good and slick design, all features are same as in J8. I am disappointed because of charging option. simple V8 charger for charging device. they need to provide type C type charger instead of V8 Charger. Rest of the features and phone specification is GreatREAD MORE"
Seems Good,"Used just for one day no cons found , will update after used of some daysREAD MORE"
Perfect product!,superb good oneREAD MORE
Terrible product,"Not satisfied with phone performance, hanging and heating issue ,no value for moneyREAD MORE"
Wonderful,exllent phone ????READ MORE
Video playing is not good camera is okay,"Screen resolution may be disappointed to you, look wise very good, camera is not so much attractive and portrait is not good, video playing is worst,READ MORE"
Absolute rubbish!,its display looks very cheap quality.It should have more than 400 ppi display.redmi note 5 pro camera is better than this.i bought it because i faith deeply on samsung phones but disappointed to buy this phone.READ MORE
Worth every penny,best phone samsung galaxy on 8 means j8????READ MORE
Super!,camera is very good  j8 in super mobailREAD MORE
Must buy!,good mobile assumREAD MORE
Worthless,Phone is not good. Because sound is very LowREAD MORE
Worth every penny,satisfied with camera ...READ MORE
Not recommended at all,please don't buy. worst processor. hanging while playing gamesREAD MORE
Terrific purchase,liked itREAD MORE
Unsatisfactory,too much heating guys.... and battery drains very fast...READ MORE
Simply awesome,"Good mobile with good camera, sleeky design, display, but processor should more, there is no notification light, ambient light sensor, Samsung must be updated the light sensor, processor, battery should more, it will be excellent productREAD MORE"
Just wow!,AwesomeREAD MORE
Good quality product,GoodREAD MORE
Mind-blowing purchase,nice phone and nice cameraREAD MORE
Super!,nice productREAD MORE
Perfect product!,Nice product value for money Pls go for this phone than buying j8READ MORE
Not good,don't buy this phone because battery backup is not workingREAD MORE
Great product,overall goodREAD MORE
Perfect product!,Best picture foreverREAD MORE
Highly recommended,nice camera..READ MORE
Could be way better,pathetic productno call for waiting featuredisplay is so bad that my eyes started hurting even after applying blue light filterdisappointed very muchREAD MORE
Moderate,"Here most are paid reviews only,product video quality and gaming experiance  are very poor.dont trust on 5 star reviews.READ MORE"
Perfect product!,i have been using this device since a week here is my review on this display resolution is excellent camera is soo good battery can last upto 2 days can play heavy games will not lag at all happy with this deviceREAD MORE
Useless product,"MY PHONE HAVING networks issues I had raised the complainant but this Flipkart service guy came and told he will not come in side and I have to come to road to show him device so he made me force to come there only there that network will be fine as it's a open place, by near my house network problem in this phone is lot, where we use same Airtel network for other phones have not seen problem single day, I am really unhappy with the Samsung On8 Phone and Flipkart service support,  every day o...READ MORE"
Classy product,Worthy..READ MORE
Pretty good,Everything is good except front camera worst camera I saw in my life it giving feeling like taking photos with 2MP cameraREAD MORE
Wonderful,good performance and good lookREAD MORE
Great product,very good phone by samsung battery and display are too goodsuper amoled screen is amazingmust buy!!!!!READ MORE
Does the job,"Charging are very poor, since last 3 hours it couldn't completed 100 %, i want help for this, who can help here? If such charging speed than most of the time it will be on charge only then when to use mobile?I require a immediate support for it. I am looking for call back. Thank you !READ MORE"
Absolute rubbish!,Pros 1) camera  2) battery3)feel Cons 1) display2) price 3)buildREAD MORE
Does the job,disadvantage is there is no auto brightness option. if we go outside and suddenly we need to to cal then u can't able to c ur mobile phone even if in unlock. blank it will be. disappointed. other okay. so before u leaving to home you have to set the brightness otherwise you will be in troubleREAD MORE
Don't waste your money,Bad mobileREAD MORE
Don't waste your money,camera very bad. thard class camera results. plz don't buy Samsung on8 mobileREAD MORE
Useless product,i was told i will get citi bank cash back on my credit card once after 12 Aug by flipkart representative now they telling by 12 nov 2018 which is after 3 months. Also the product earphones sound quality very low doubt is it original. also battery drains quiet fast might need to check for 2 more days.READ MORE
Worth every penny,Display Quality very bad  I don't receive your product please refund my money    your product very poor please please please   give my moneyREAD MORE
Good choice,Nice phoneREAD MORE
Simply awesome,"No doubt on Samsung brand, is good brand and good product quality of SamsungREAD MORE"
Super!,My Mobile was theftREAD MORE
Wonderful,Very GoodREAD MORE
Could be way better,I am using this phone for 1.5 years. The speaker didnt worked from 3months of using. The camera quality detoriated after 6months of using. No heating problem but battery doesn't stays for long. Display is fine. No hanging issue. Not satisfactory product for purchase.READ MORE
Wonderful,Very good. Thanks flipkart for best productREAD MORE
Worth every penny,very goodREAD MORE
Really Nice,GoodREAD MORE
Worst experience ever!,Prosser low qualityREAD MORE
Wonderful,All is goodREAD MORE
Terrific,Good product in this rangeREAD MORE
Wonderful,Very good mobileREAD MORE
Fair,Mobile performance is good. but after software update mobile charging slow down drastically. Very unsatisfied about this.READ MORE
Does the job,Product is good but phone is hangingREAD MORE
Mind-blowing purchase,Good phoneREAD MORE
Mind-blowing purchase,Good phone excellent performance I satisfied with this product.READ MORE
Good quality product,More than one and half years I am using this product . Very good product I must say.READ MORE
Awesome,Nice and very goodREAD MORE
Worth every penny,GoodREAD MORE
Excellent,Really happy to use it.READ MORE
Highly recommended,good..READ MORE
Just wow!,Very  nice  phoneREAD MORE
Wonderful,Working best even after one and a half year. of course slowness will be there with time like any other phone. This one is value for money & I'll refer this to anyone.READ MORE
Brilliant,Surprisingly best quality from Samsung thanks for keeping trust on brandREAD MORE
Good choice,OkREAD MORE
Wonderful,Ok goodREAD MORE
Pretty good,Good product ??..READ MORE
Wonderful,BEST MOBILEREAD MORE
Worst experience ever!,OkayREAD MORE
Awesome,nice phone.READ MORE
Expected a better product,"Completely stupid phone, those Chinese low cost phones are wonderful. Horrible battery, very slow and also charging is very slow. Phone call quality is also not great either. Writing this based on my long term usage of 19 months.....READ MORE"
Mind-blowing purchase,NiceREAD MORE
Wonderful,Very nice mobileREAD MORE
Worth the money,Product is goodREAD MORE
Worth every penny,Good productREAD MORE
Delightful,Nice mobileREAD MORE
Really Nice,Nice productREAD MORE
Really Nice,Nice phone i have no problem with this phone .its working well..READ MORE
Just wow!,NiceREAD MORE
Terrific,This phone is really Very good battery also function etcREAD MORE
Fabulous!,Good ProductREAD MORE
Wonderful,VERY GOOD... IAM USING FROM LAST 18 MONTHS..NO ANY ISSUE..GREAT PHONE IN  THIS RANGEREAD MORE
Just wow!,GoodREAD MORE
Nice product,Nice phoneREAD MORE
Worth every penny,ExcellentREAD MORE
Excellent,GoodREAD MORE
Super!,Bought for mom. Her first smart phone. She is using it for 2 years now. Great.READ MORE
Simply awesome,Worth for itREAD MORE
Delightful,Good mobileREAD MORE
Classy product,niceREAD MORE
Perfect product!,Superb phone i am using 2 years no cmpntREAD MORE
Wonderful,SuperREAD MORE
Fabulous!,It is a good PRODUCTREAD MORE
Worth every penny,Best phone from samsung but sometime the screen lag but it is a good phone for pubg at 60 fpsREAD MORE
Super!,ExcellentREAD MORE
Worth every penny,Nice productsREAD MORE
Bad quality,Not a good productREAD MORE
Wonderful,After  one year of use... still its fresh mode nd awesome......READ MORE
Great product,Nice productsREAD MORE
Brilliant,OsmREAD MORE
Perfect product!,GoodREAD MORE
Simply awesome,goodREAD MORE
